mpg           ;cylinders     ;displace      ;horsepower    ;weight        ;origin        ;make        ;model       ;price        ;
20;4;147;106;3340;3;Nissan      ;Van         ;16094;
29;4;98;90;2241;3;Nissan      ;Sentra      ;9769;
25;4;121;97;2780;3;Nissan      ;Stanza      ;12949;
20;4;144;107;3295;3;Mitsubishi  ;Wagon       ;15279;              
21;6;182;142;3085;3;Mitsubishi  ;Sigma       ;17419;              
23;6;182;160;3096;3;Nissan      ;Maxima      ;19249;              
27;4;98;90;2398;3;Nissan      ;Pulsar      ;12619;              
29;4;91;81;2281;3;Mitsubishi  ;Mirage      ;9679;              
27;4;110;90;2250;3;Subaru      ;Sedan       ;12431;              
21;6;164;161;3174;1;Sterling    ;827;21779;              
35;3;74;66;1755;3;Subaru      ;Justy       ;6016;              
28;4;122;96;2443;1;Pontiac     ;Sunbird     ;9299;              
30;4;99;74;2245;1;Pontiac     ;LeMans      ;8769;              
21;4;122;125;2745;2;Saab        ;900;18390;              
22;4;122;125;3032;2;Saab        ;9000;25490;              
24;6;232;165;3371;1;Oldsmobile  ;Toronado    ;22345;              
25;6;174;130;3094;1;Oldsmobile  ;Cutlass     ;14645;              
23;4;147;140;2700;3;Nissan      ;240SX       ;14309;              
23;6;182;165;3149;3;Nissan      ;300ZX       ;23399;              
32;4;123;135;2420;1;Plymouth    ;Laser       ;              ;              
23;4;117;110;2470;2;Peugot      ;405;15500;              
27;4;152;110;2602;1;Pontiac     ;Grand Am    ;11509;              
25;6;174;130;3177;1;Pontiac     ;Grand Prix  ;14249;              
28;4;98;115;2360;3;Toyota      ;MR2         ;14898;              
29;4;98;90;2217;3;Toyota      ;Corolla     ;10018;              
22;6;181;190;3427;3;Toyota      ;Cressida    ;21848;              
27;4;80;100;1778;3;Suzuki      ;Swift       ;              ;              
27;4;110;97;2465;3;Subaru      ;XT          ;14181;              
28;6;123;115;2700;3;Toyota      ;Camry       ;12508;              
30;4;123;115;2446;3;Toyota      ;Celica      ;12828;              
26;4;110;100;2315;2;Volkswagen  ;Jetta       ;10765;              
27;4;110;81;2213;2;Volkswagen  ;Fox         ;7990;              
21;6;181;200;3469;3;Toyota      ;Supra       ;23460;              
31;4;90;78;2035;3;Toyota      ;Tercel      ;9358;              
24;6;141;114;2964;2;Volvo       ;740;20905;              
22;4;141;114;2929;2;Volvo       ;240;18170;              
30;4;80;64;1842;3;Yugo        ;            ;4699;              
              ;6;              ;140;              ;1;Chevrolet   ;Lumina      ;              ;              
22;8;274;155;3432;1;Cadillac    ;Seville     ;30100;              
21;6;178;144;3240;1;Merkur      ;Scorpio     ;25952;              
27;4;183;150;2872;1;Eagle       ;Premier     ;13626;              
19;6;182;177;3740;2;Mercedes    ;S-Class     ;51750;              
22;4;157;188;2832;1;Chrysler    ;Conquest    ;20042;              
29;4;115;90;2232;1;Ford        ;Escort      ;8519;              
29;4;122;90;2479;1;Buick       ;Skyhawk     ;10050;              
21;6;153;168;2865;2;BMW         ;325i        ;26445;              
21;5;142;130;2942;2;Audi        ;100;28380;              
24;6;232;165;3299;1;Buick       ;Electra     ;18875;              
25;4;154;90;2992;1;Ford        ;Taurus      ;12128;              
28;4;98;82;2185;3;Mazda       ;323;9349;              
21;8;306;220;3093;1;Chevrolet   ;Camaro      ;14985;              
24;6;233;140;3638;1;Lincoln     ;Continental ;27818;              
21;6;81;146;2655;3;Mazda       ;RX-7        ;17170;              
22;8;274;155;3480;1;Cadillac    ;Fleetwood   ;34580;              
20;6;263;155;3094;1;Chevrolet   ;Astro       ;15104;              
27;4;136;93;2568;1;Dodge       ;Shadow      ;9481;              
25;6;174;130;3154;1;Buick       ;Regal       ;15089;              
27;4;136;93;2669;1;Chrysler    ;LeBaron     ;12381;              
28;4;122;90;2605;1;Chevrolet   ;Corsica     ;10825;              
24;6;232;165;3404;1;Buick       ;Reatta      ;27050;              
31;4;82;63;1723;1;Ford        ;Festiva     ;7966;              
21;8;306;170;3703;1;Chevrolet   ;Caprice     ;17185;              
17;6;210;208;3845;2;BMW         ;735i        ;54350;              
24;6;232;165;3277;1;Buick       ;LeSabre     ;17080;              
25;4;133;103;2598;1;Eagle       ;Medallion   ;11245;              
              ;4;              ;              ;2760;3;Hyundai     ;Sonata      ;              ;              
32;4;108;92;2534;3;Mitsubishi  ;Eclipse     ;              ;              
20;8;319;140;3566;1;Chrysler    ;Fifth Ave   ;18695;              
27;4;152;110;2774;1;Buick       ;Century     ;13706;              
26;4;122;108;2578;2;Audi        ;80;20035;              
23;4;123;96;2898;1;Dodge       ;Colt Vista  ;13677;              
24;4;120;104;2532;3;Honda       ;Prelude     ;15020;              
21;8;308;140;4219;1;Buick       ;Estate      ;20210;              
23;4;154;100;3314;1;Dodge       ;Caravan     ;12227;              
20;8;274;200;3502;1;Cadillac    ;Allante     ;57533;              
              ;6;233;140;3552;1;Ford        ;T-bird      ;              ;              
              ;3;62;55;1650;3;Geo         ;Metro       ;8441;              
26;4;123;102;2611;3;Mitsubishi  ;Galant      ;12169;              
24;4;138;110;2737;3;Isuzu       ;Impulse     ;15219;              
23;6;160;188;3220;2;Mercedes    ;260 E       ;39550;              
22;8;351;245;3239;1;Chevrolet   ;Corvette    ;31895;              
22;6;160;158;2965;2;Mercedes    ;190 E       ;32850;              
21;8;308;140;4200;1;Cadillac    ;Brougham    ;26049;              
27;4;154;100;2780;1;Dodge       ;Spirit      ;              ;              
21;8;303;225;3732;1;Lincoln     ;Mark VII    ;27568;              
27;4;140;93;2653;1;Dodge       ;Lancer      ;12081;              
26;4;182;141;3010;1;Dodge       ;Dynasty     ;12645;              
28;4;98;118;2400;3;Acura       ;Integra     ;13020;              
22;6;181;158;3383;3;Mazda       ;929;22270;              
33;4;91;70;1999;3;Geo         ;Spectrum    ;8779;              
